a,0
b,41
c,25
d,15
e,19
f,4
g,29
h,1
i,23
j,5
k,5
l,23
m,25
n,14
o,35
p,0
q,21
r,22
s,0
t,48
u,8
v,17
w,1
x,29
y,7
z,10
