a,10
b,4
c,4
d,70
e,69
f,7
g,14
h,18
i,0
j,29
k,33
l,28
m,14
n,29
o,48
p,15
q,22
r,4
s,0
t,0
u,1
v,44
w,68
x,0
y,0
z,59
